show_id,content_types,title,director,cast,country,date_added,release_year,rating,duration,genres,description
s11,TV Show,"Vendetta: Truth, Lies And The Mafia",Unknown,Unknown,Unknown,"September 24, 2021",2021,Tv-Ma,1,"Crime Tv Shows, Docuseries, International Tv Shows","Sicily Boasts A Bold ""Anti-Mafia"" Coalition. But What Happens When Those Trying To Bring Down Organized Crime Are Accused Of Being Criminals Themselves?"
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",Unknown,"September 23, 2021",2021,Tv-Ma,1,"Crime Tv Shows, International Tv Shows, Tv Action & Adventure","Struggling To Earn A Living In Bangkok, A Man Joins An Emergency Rescue Service And Realizes He Must Unravel A Citywide Conspiracy."
s13,Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová","Germany, Czech Republic","September 23, 2021",2021,Tv-Ma,127,"Dramas, International Movies","After Most Of Her Family Is Murdered In A Terrorist Bombing, A Young Woman Is Unknowingly Lured Into Joining The Very Group That Killed Them."
s14,Movie,Confessions Of An Invisible Girl,Bruno Garotti,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",Unknown,"September 22, 2021",2021,Tv-Pg,91,"Children & Family Movies, Comedies","When The Clever But Socially-Awkward Tetê Joins A New School, She'Ll Do Anything To Fit In. But The Queen Bee Among Her Classmates Has Other Ideas."
s15,TV Show,Crime Stories: India Detectives,Unknown,Unknown,Unknown,"September 22, 2021",2021,Tv-Ma,1,"British Tv Shows, Crime Tv Shows, Docuseries",Cameras Following Bengaluru Police On The Job Offer A Rare Glimpse Into The Complex And Challenging Inner Workings Of Four Major Crime Investigations.
s16,TV Show,Dear White People,Unknown,"Logan Browning, Brandon P. Bell, Deron Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",USA,"September 22, 2021",2021,Tv-Ma,4,"Tv Comedies, Tv Dramas","Students Of Color Navigate The Daily Slights And Slippery Politics Of Life At An Ivy League College That'S Not Nearly As ""Post-Racial"" As It Thinks."
s17,Movie,Europe'S Most Dangerous Man: Otto Skorzeny In Spain,"Pedro De Echave García, Pablo Azorín Williams",Unknown,Unknown,"September 22, 2021",2020,Tv-Ma,67,"Documentaries, International Movies","Declassified Documents Reveal The Post-Wwii Life Of Otto Skorzeny, A Close Hitler Ally Who Escaped To Spain And Became An Adviser To World Presidents."
s18,TV Show,Falsa Identidad,Unknown,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel Del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",Mexico,"September 22, 2021",2020,Tv-Ma,2,"Crime Tv Shows, Spanish-Language Tv Shows, Tv Dramas",Strangers Diego And Isabel Flee Their Home In Mexico And Pretend To Be A Married Couple To Escape His Drug-Dealing Enemies And Her Abusive Husband.
s19,Movie,Intrusion,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",Unknown,"September 22, 2021",2021,Tv-14,94,Thrillers,"After A Deadly Home Invasion At A Couple’S New Dream House, The Traumatized Wife Searches For Answers — And Learns The Real Danger Is Just Beginning."
s20,TV Show,Jaguar,Unknown,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",Unknown,"September 22, 2021",2021,Tv-Ma,1,"International Tv Shows, Spanish-Language Tv Shows, Tv Action & Adventure","In The 1960S, A Holocaust Survivor Joins A Group Of Self-Trained Spies Who Seek Justice Against Nazis Fleeing To Spain To Hide After Wwii."
s21,TV Show,Monsters Inside: The 24 Faces Of Billy Milligan,Olivier Megaton,Unknown,Unknown,"September 22, 2021",2021,Tv-14,1,"Crime Tv Shows, Docuseries, International Tv Shows","In The Late 1970S, An Accused Serial Rapist Claims Multiple Personalities Control His Behavior, Setting Off A Legal Odyssey That Captivates America."
s22,TV Show,Resurrection: Ertugrul,Unknown,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",Turkey,"September 22, 2021",2018,Tv-14,5,"International Tv Shows, Tv Action & Adventure, Tv Dramas","When A Good Deed Unwittingly Endangers His Clan, A 13Th-Century Turkish Warrior Agrees To Fight A Sultan'S Enemies In Exchange For New Tribal Land."
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",Unknown,"September 21, 2021",1996,Tv-Pg,161,"Comedies, International Movies","Newly Divorced And Denied Visitation Rights With His Daughter, A Doting Father Disguises Himself As A Gray-Haired Nanny In Order To Spend Time With Her."
s24,Movie,Go! Go! Cory Carson: Chrissy Takes The Wheel,"Alex Woo, Stanley Moore","Maisie Benson, Paul Killam, Kerry Gudjohnsen, Ac Lim",Unknown,"September 21, 2021",2021,Tv-Y,61,Children & Family Movies,"From Arcade Games To Sled Days And Hiccup Cures, Cory Carson’S Curious Little Sister Chrissy Speeds Off On Her Own For Fun And Adventure All Over Town!"
s25,Movie,Jeans,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",India,"September 21, 2021",1998,Tv-14,166,"Comedies, International Movies, Romantic Movies","When The Father Of The Man She Loves Insists That His Twin Sons Marry Twin Sisters, A Woman Creates An Alter Ego That Might Be A Bit Too Convincing."
s26,TV Show,Love On The Spectrum,Unknown,Brooke Satchwell,Australia,"September 21, 2021",2021,Tv-14,2,"Docuseries, International Tv Shows, Reality Tv","Finding Love Can Be Hard For Anyone. For Young Adults On The Autism Spectrum, Exploring The Unpredictable World Of Dating Is Even More Complicated."
s27,Movie,Minsara Kanavu,Rajiv Menon,"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",Unknown,"September 21, 2021",1997,Tv-Pg,147,"Comedies, International Movies, Music & Musicals",A Tangled Love Triangle Ensues When A Man Falls For A Woman Studying To Become A Nun — And She Falls For The Friend He Enlists To Help Him Pursue Her.
s28,Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",USA,"September 20, 2021",2010,Pg-13,103,Comedies,"Mourning The Loss Of Their Beloved Junior High Basketball Coach, Five Middle-Aged Pals Reunite At A Lake House And Rediscover The Joys Of Being A Kid."
s29,Movie,Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",USA,"September 19, 2021",2013,Pg-13,97,"Horror Movies, Sci-Fi & Fantasy","A Family’S Idyllic Suburban Life Shatters When An Alien Force Invades Their Home, And As They Struggle To Convince Others Of The Deadly Threat."
s30,Movie,Paranoia,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian Mcmahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","United States, India, France","September 19, 2021",2013,Pg-13,106,Thrillers,"Blackmailed By His Company'S Ceo, A Low-Level Employee Finds Himself Forced To Spy On The Boss'S Rival And Former Mentor."
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",Unknown,"September 17, 2021",2021,Tv-14,111,"Dramas, Independent Movies, International Movies","As Big City Life Buzzes Around Them, Lonely Souls Discover Surprising Sources Of Connection And Companionship In Three Tales Of Love, Loss And Longing."
s32,TV Show,Chicago Party Aunt,Unknown,"Lauren Ash, Rory O'Malley, Rupaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",Unknown,"September 17, 2021",2021,Tv-Ma,1,Tv Comedies,Chicago Party Aunt Diane Is An Idolized Troublemaker With A Talent For Avoiding Adulthood — And A Soft Spot For Her Soul-Searching Nephew.
s33,TV Show,Sex Education,Unknown,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",UK,"September 17, 2021",2020,Tv-Ma,3,"British Tv Shows, International Tv Shows, Tv Comedies","Insecure Otis Has All The Answers When It Comes To Sex Advice, Thanks To His Therapist Mom. So Rebel Maeve Proposes A School Sex-Therapy Clinic."
s34,TV Show,Squid Game,Unknown,"Lee Jung-Jae, Park Hae-Soo, Wi Ha-Jun, Oh Young-Soo, Jung Ho-Yeon, Heo Sung-Tae, Kim Joo-Ryoung, Tripathi Anupam, You Seong-Joo, Lee You-Mi",Unknown,"September 17, 2021",2021,Tv-Ma,1,"International Tv Shows, Tv Dramas, Tv Thrillers","Hundreds Of Cash-Strapped Players Accept A Strange Invitation To Compete In Children'S Games. Inside, A Tempting Prize Awaits — With Deadly High Stakes."
s35,TV Show,Tayo And Little Wizards,Unknown,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",Unknown,"September 17, 2021",2020,Tv-Y7,1,Kids' Tv,Tayo Speeds Into An Adventure When His Friends Get Kidnapped By Evil Magicians Invading Their City In Search Of A Magical Gemstone.
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",Unknown,"September 17, 2021",2021,Tv-Ma,110,"Dramas, International Movies, Thrillers","When His Son Goes Missing During A Snowy Hike In The Mountains, A Retired Intelligence Officer Will Stop At Nothing — And Risk Everything — To Find Him."
s37,Movie,The Stronghold,Cédric Jimenez,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",Unknown,"September 17, 2021",2021,Tv-Ma,105,"Action & Adventure, Dramas, International Movies","Tired Of The Small-Time Grind, Three Marseille Cops Get A Chance To Bust A Major Drug Network. But Lines Blur When A Key Informant Makes A Big Ask."
s38,TV Show,Angry Birds,Unknown,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,"September 16, 2021",2018,Tv-Y7,1,"Kids' Tv, Tv Comedies","Birds Red, Chuck And Their Feathered Friends Have Lots Of Adventures While Guarding Eggs In Their Nest That Pesky Pigs Keep Trying To Steal."
s39,Movie,Birth Of The Dragon,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","China, Canada, United States","September 16, 2021",2017,Pg-13,96,"Action & Adventure, Dramas","A Young Bruce Lee Angers Kung Fu Traditionalists By Teaching Outsiders, Leading To A Showdown With A Shaolin Master In This Film Based On Real Events."
s40,TV Show,Chhota Bheem,Unknown,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,"September 16, 2021",2021,Tv-Y7,3,Kids' Tv,"A Brave, Energetic Little Boy With Superhuman Powers Leads His Friends On Exciting Adventures To Guard Their Fellow Dholakpur Villagers From Evil."
s41,TV Show,He-Man And The Masters Of The Universe,Unknown,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",USA,"September 16, 2021",2021,Tv-Y7,1,"Kids' Tv, Tv Sci-Fi & Fantasy",Mighty Teen Adam And His Heroic Squad Of Misfits Discover The Legendary Power Of Grayskull — And Their Destiny To Defend Eternia From Sinister Skeletor.
s42,Movie,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",USA,"September 16, 2021",1975,Pg,124,"Action & Adventure, Classic Movies, Dramas","When An Insatiable Great White Shark Terrorizes Amity Island, A Police Chief, An Oceanographer And A Grizzled Shark Hunter Seek To Destroy The Beast."
s43,Movie,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",USA,"September 16, 2021",1978,Pg,116,"Dramas, Horror Movies, Thrillers","Four Years After The Last Deadly Shark Attacks, Police Chief Martin Brody Fights To Protect Amity Island From Another Killer Great White."
s44,Movie,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon Maccorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",USA,"September 16, 2021",1983,Pg,98,"Action & Adventure, Horror Movies, Thrillers","After The Staff Of A Marine Theme Park Try To Capture A Young Great White Shark, They Discover Its Mother Has Invaded The Enclosure And Is Out For Blood."
s45,Movie,Jaws: The Revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",USA,"September 16, 2021",1987,Pg-13,91,"Action & Adventure, Horror Movies, Thrillers","After Another Deadly Shark Attack, Ellen Brody Has Had Enough Of Amity Island And Moves To The Caribbean – But A Great White Shark Follows Her There."
s46,Movie,My Heroes Were Cowboys,Tyler Greco,Unknown,Unknown,"September 16, 2021",2021,Pg,23,Documentaries,"Robin Wiltshire'S Painful Childhood Was Rescued By Westerns. Now He Lives On The Frontier Of His Dreams, Training The Horses He Loves For The Big Screen."
s47,Movie,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","South Africa, United States, Japan","September 16, 2021",2012,R,115,Action & Adventure,Young Cia Operative Matt Weston Must Get A Dangerous Criminal Out Of An Agency Safe House That'S Come Under Attack And Get Him To A Securer Location.
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha Dike, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",Unknown,"September 16, 2021",2020,Tv-Ma,1,"International Tv Shows, Romantic Tv Shows, Tv Comedies","Five Glamorous Millennials Strive For Success As They Juggle Careers, Finances, Love And Friendships. Based On Arese Ugwu'S 2016 Best-Selling Novel."
s49,Movie,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",USA,"September 16, 2021",2001,R,122,"Dramas, Thrillers",A Rookie Cop With One Day To Prove Himself To A Veteran Lapd Narcotics Officer Receives A Crash Course In His Mentor'S Questionable Brand Of Justice.
s50,TV Show,Castle And Castle,Unknown,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",Nigeria,"September 15, 2021",2021,Tv-Ma,2,"International Tv Shows, Tv Dramas","A Pair Of High-Powered, Successful Lawyers Find Themselves Defending Opposite Interests Of The Justice System, Causing A Strain On Their Happy Marriage."
s51,TV Show,Dharmakshetra,Unknown,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya Dharmchand Kumar, Amit Behl, Maleeka Ghai",India,"September 15, 2021",2014,Tv-Pg,1,"International Tv Shows, Tv Dramas, Tv Sci-Fi & Fantasy","After The Ancient Great War, The God Chitragupta Oversees A Trial To Determine Who Were The Battle'S True Heroes And Villains."
s52,Movie,Inuyasha The Movie 2: The Castle Beyond The Looking Glass,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",Japan,"September 15, 2021",2002,Tv-14,99,"Action & Adventure, Anime Features, International Movies","With Their Biggest Foe Seemingly Defeated, Inuyasha And His Friends Return To Everyday Life. But The Peace Is Soon Shattered By An Emerging New Enemy."
s53,Movie,Inuyasha The Movie 3: Swords Of An Honorable Ruler,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",Japan,"September 15, 2021",2003,Tv-14,99,"Action & Adventure, Anime Features, International Movies",The Great Dog Demon Beaqueathed One Of The Three Swords Of The Fang To Each Of His Two Sons. Now The Evil Power Of The Third Sword Has Been Awakened.
s54,Movie,Inuyasha The Movie 4: Fire On The Mystic Island,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",Japan,"September 15, 2021",2004,Tv-Pg,88,"Action & Adventure, Anime Features, International Movies","Ai, A Young Half-Demon Who Has Escaped From Horai Island To Try To Help Her People, Returns With Potential Saviors Inuyasha, Sesshomaru And Kikyo."
s55,Movie,Inuyasha The Movie: Affections Touching Across Time,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",Japan,"September 15, 2021",2001,Tv-Pg,100,"Action & Adventure, Anime Features, International Movies","A Powerful Demon Has Been Sealed Away For 200 Years. But When The Demon'S Son Is Awakened, The Fate Of The World Is In Jeopardy."
s56,TV Show,Nailed It,Unknown,"Nicole Byer, Jacques Torres",USA,"September 15, 2021",2021,Tv-Pg,6,Reality Tv,"Home Bakers With A Terrible Track Record Take A Crack At Re-Creating Edible Masterpieces For A $10,000 Prize. It'S Part Reality Contest, Part Hot Mess."
s57,Movie,Naruto Shippuden The Movie: Blood Prison,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Japan,"September 15, 2021",2011,Tv-14,102,"Action & Adventure, Anime Features, International Movies","Mistakenly Accused Of An Attack On The Fourth Raikage, Ninja Naruto Is Imprisoned In The Impenetrable Hozuki Castle And His Powers Are Sealed."
s58,Movie,Naruto Shippûden The Movie: Bonds,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada",Japan,"September 15, 2021",2008,Tv-Pg,93,"Action & Adventure, Anime Features, International Movies","When Strange Ninjas Ambush The Village Of Konohagakure, It'S Up To Adolescent Ninja Naruto And His Long-Missing Pal, Sasuke, To Save The Planet."
s59,Movie,Naruto Shippûden The Movie: The Will Of Fire,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura",Japan,"September 15, 2021",2009,Tv-Pg,96,"Action & Adventure, Anime Features, International Movies","When Four Out Of Five Ninja Villages Are Destroyed, The Leader Of The One Spared Tries To Find The True Culprit And Protect His Land."
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato",Japan,"September 15, 2021",2007,Tv-Pg,95,"Action & Adventure, Anime Features, International Movies","The Adventures Of Adolescent Ninja Naruto Uzumaki Continue As He'S Tasked With Protecting A Priestess From A Demon – But To Do So, He Must Die."
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",Japan,"September 15, 2021",2010,Tv-14,85,"Action & Adventure, Anime Features, International Movies","When Naruto Is Sent To Recover A Missing Nin, The Rogue Manages To Send Him 20 Years Into The Past, Where He Unites With His Father To Battle Evil."
s62,Movie,Naruto The Movie 2: Legend Of The Stone Of Gelel,Hirotsugu Kawasaki,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",Japan,"September 15, 2021",2005,Tv-Pg,97,"Action & Adventure, Anime Features, International Movies","While On A Mission To Return A Missing Pet, Naruto And Two Fellow Ninjas Are Ambushed By Brutal Knights Led By The Enigmatic Temujin."
